movement,scenario,speed,angle,duration,hit,output_en,output_tr
squat,slow_and_too_short,low,correct,short,False,"PROBLEM: The squat movement is being executed too slowly, resulting in a missed target and short duration.  
FIX: Increase the speed of your descent and ascent to ensure full range of motion and properly hit the target.  
MOTIVATION: Keep pushing yourself—you’re stronger than you think, and each rep brings you closer to your goals!","SORUN: Squat egzersizinin hızı düşük ve hareket süresi çok kısa olduğu için hedefin ıskalanıyor.  
DÜZELTME: Squat yaparken hareketi daha yavaş ve kontrollü bir şekilde gerçekleştirin, böylece her pozisyonda yeterince süre kalacak ve hedefe ulaşacaksınız.  
MOTİVASYON: Unutmayın, her tekrar sizi daha güçlü kılıyor; biraz sabır ve azimle mükemmelleşeceksiniz!"
squat,slow_and_wrong_angle,low,incorrect,normal,False,"PROBLEM: The squat movement is being performed too slowly and with an incorrect angle, resulting in missing the target.  
FIX: Increase the speed of your descent and ensure your knees are aligned with your toes at a 90-degree angle during the squat.  
MOTIVATION: Keep pushing yourself, and soon you'll find that fluidity and proper form make all the difference in your performance!","SORUN: Squat hareketinin hızı düşük, açısı yanlış ve hedef ıskalanıyor.  
DÜZELTME: Squat sırasında daha hızlı bir başlangıç yapmaya odaklan ve dizlerini vücudunun üzerine alarak doğru açıyla indirmeye çalış, aynada kendini kontrol ederek formunu düzelt.  
MOTİVASYON: Unutma, her tekrar seni hedeflerine bir adım daha yaklaştırıyor; ilerle ve gücünü hisset!"
squat,too_short,good,correct,short,False,"PROBLEM: The duration of the squat movement was too short, resulting in not achieving the desired depth.  
FIX: Focus on extending the duration of the squat descent and ascent to ensure you reach the proper depth and maintain control throughout the movement.  
MOTIVATION: You're doing great with your speed and angle, and with just a little more time in your squat, you'll see incredible improvements!","SORUN: Hareket süresi çok kısa olduğu için squat derinliğine ulaşılamıyor ve doğru hedef ıskalanıyor.  
DÜZELTME: Hareketin süresini artırarak daha yavaş ve kontrollü bir şekilde squat yapmayı deneyin; dikkat edin, dizleriniz ayak parmaklarınızın önünde olmasın.  
MOTİVASYON: İlerlemenizi görmek harika; sabırlı olun ve doğru formu yakaladığınızda daha güçlü hissedeceksiniz!"
squat,wrong_angle,good,incorrect,normal,False,"PROBLEM: The squat angle is incorrect, which can lead to reduced effectiveness and potential injury.  
FIX: Focus on keeping your knees in line with your toes and lower your hips back and down to achieve a proper squat angle, aiming for thighs parallel to the ground.  
MOTIVATION: You're making great progress, and with a little adjustment, you'll master that squat in no time!","SORUN: Squat sırasında vücut pozisyonu ve eklem açıları doğru değil, bu da hedef kas gruplarının etkili bir şekilde çalışmamasına yol açıyor.  
DÜZELTME: Squat sırasında dizlerinizi ayak parmaklarınızla aynı hizada tutmaya özen gösterin ve kalçalarınızı geriye doğru itin; bu, doğru açıyı elde etmenizi sağlayacaktır.  
MOTİVASYON: Doğru formu bulduğunuzda, her egzersizle birlikte güçlenecek ve daha fazla ilerleme kaydedeceksiniz; devam edin, başarı sizinle!"
uppercut,all_wrong,low,incorrect,short,False,"PROBLEM: The uppercut punch lacks the necessary speed and power due to an incorrect angle and insufficient duration of the movement.  
FIX: Focus on generating more explosive upward movement from your legs and hips while adjusting your elbow angle to ensure the punch travels straight upward, extending the duration of the punch to follow through properly.  
MOTIVATION: With consistent practice and attention to these details, you'll unleash a devastating uppercut that can surprise your opponents!","SORUN: Uppercut hızının düşük olması, açının yanlış ayarlanması, hareket süresinin kısa olması ve hedefin ıskalanması gibi sorunlar mevcut.  
DÜZELTME: Öncelikle, uppercutun başlangıç pozisyonundan açısını 45 dereceye ayarlamanı ve boks torbasına doğru daha uzun bir hareket süresi sağlamanı öneriyorum; hızını artırmak için de düzenli hız çalışmaları yaparak vücut ağırlığını kullanarak atışlarını güçlendirebilirsin.  
MOTİVASYON: Unutma, her büyük şampiyon önce denemeler yapar; sen de yaparak öğren ve gücünü keşfet!"
uppercut,correct,good,correct,normal,True,"PROBLEM: The uppercut lacks consistent follow-through, which can reduce effectiveness.  
FIX: Focus on driving through the target with your fist, extending your arm fully and rotating your shoulder for added power.  
MOTIVATION: Keep refining your technique, and you'll see even greater results in your uppercut!","SORUN: Boks uppercut hareketinde belirgin bir hata tespit edilmedi.  
DÜZELTME: Tekniği daha da geliştirmek için belirli bir takip ve kombinasyon alıştırması yaparak hareketin akışını artırabilirsiniz.  
MOTİVASYON: Harika bir iş çıkardın, bu ilerleme ile daha da güçlü olacaksın!"
uppercut,slow,low,correct,normal,False,"PROBLEM: The uppercut's speed is too low, resulting in a missed target.  
FIX: Focus on explosiveness by driving your legs up through your hips and into your punch, ensuring you're utilizing your full body for added speed.  
MOTIVATION: You have the potential to unleash powerful punches—keep pushing, and you'll nail that target!","SORUN: Uppercut hızının düşük olması ve hedefin ıskalanması ana sorun olarak tespit edilmiştir.  
DÜZELTME: Hızınızı artırmak için antrenman sırasında önce hızlı ve hafif vuruşlar yaparak başlayın, ardından her tekrar için hızınızı kademeli olarak artırarak hedefe odaklanın.  
MOTİVASYON: Unutmayın, her antrenman sizi daha da güçlendiriyor; biraz daha çalışın ve ustalığınızı göreceksiniz!"
uppercut,slow_and_too_short,low,correct,short,False,"PROBLEM: The uppercut punch lacks both speed and duration, resulting in missed targets.  
FIX: Focus on driving your hips and legs into the punch to increase acceleration, and practice extending the punch fully for a longer duration.  
MOTIVATION: With consistent practice and these adjustments, you'll start landing those uppercuts with power and precision!","SORUN: Uppercut hareketinin hızı düşük ve süre çok kısa olduğundan hedef ıskalanıyor.  
DÜZELTME: Antrenmanda hızınızı artırmak için daha fazla vücut mekaniklerine odaklanın; bacaklarınızı ve kalçanızı kullanarak vurduğunuz antrenman hızını artırmak için bantla direnç antrenmanı yapın.  
MOTİVASYON: Doğru teknikle ve azimle çalışırsanız, rakibinizi nakavt etmek için gereken hıza ulaşacaksınız!"
uppercut,slow_and_wrong_angle,low,incorrect,normal,False,"PROBLEM: The uppercut lacked speed and was delivered at an incorrect angle, resulting in a missed target.  
FIX: Focus on generating power from your legs and core while adjusting your elbow position to ensure a more vertical punch trajectory.  
MOTIVATION: You're making great progress, and with a few adjustments, you'll be landing those uppercuts like a pro!","SORUN: Uppercut hareketinin hızı düşük, açısı yanlış ve hedef ıskalanıyor.  
DÜZELTME: Öncelikle, hızınızı artırmak için ayaklarınızı yere sağlam basarak daha iyi bir zemin dengesi sağlayın ve vücudunuzu daha fazla kullanarak bacak gücünüzle birleşik bir hareket oluşturun. Açıyı düzeltmek için dirseğinizi yukarı doğru kaldırarak ve omzunuzla birlikte döndürerek hedefi daha doğru bir şekilde hedefleyin.  
MOTİVASYON: Unutmayın, her antrenman sizi daha güçlü ve daha yetenekli bir boksör yapıyor; ilerlemenizi görmek için kendinize güvenin!"
uppercut,too_short,good,correct,short,False,"PROBLEM: The uppercut duration is too short, resulting in a missed target.  
FIX: Focus on extending the follow-through of your punch while maintaining fluidity in your movement to ensure you fully connect with the target.  
MOTIVATION: Keep pushing yourself; refining your technique will lead to improved accuracy and power in your punches!","SORUN: Uppercut hareketinin süresi çok kısa olduğu için hedef ıskalanıyor.  
DÜZELTME: Hareti yavaşlatmak ve hedefe odaklanarak hareketi daha kontrollü bir şekilde yapmak için antrenman sırasında yavaş tempoda çalışabilirsin.  
MOTİVASYON: Unutma, her büyük şampiyon, tekniklerini geliştirmek için zaman harcayarak başarıyı kazanır!"
uppercut,wrong_angle,good,incorrect,normal,False,"PROBLEM: The uppercut angle is incorrect, causing you to miss the target.  
FIX: Focus on dropping your shoulder and rotating your hips to create a more upward trajectory for your punch, aiming to connect with your opponent's chin.  
MOTIVATION: You're showing great speed and dedication—refining your angle will take your uppercut to the next level!","SORUN: Uppercut açın yanlış olduğu için hedefi ıskalıyorsun.  
DÜZELTME: Öncelikle dizlerini hafifçe bükerek, üst vücudunu hafifçe öne doğru eğ ve yumruğunu yukarı doğru, çenenin altına doğru yönlendir. Bu, açını düzeltmene ve hedefe daha isabetli bir şekilde ulaşmana yardımcı olacaktır.  
MOTİVASYON: Unutma, her antrenman seni daha iyi bir boksör yapıyor; kararlılık ve azimle başarıya ulaşacaksın!"
