movement,scenario,speed,angle,duration,hit,prompt_v1,prompt_v2,prompt_v3
squat,slow_and_too_short,low,correct,short,False,"It looks like your speed is on the slower side, which can be beneficial for form, but try to find a balance that keeps the movement fluid. Ensure you're maintaining the correct angle throughout the squat; this will help target the right muscles effectively. Additionally, focus on shortening the duration of each squat to increase your intensity and get more out of your workout. Keep it up!","To improve your squat performance, focus on increasing the speed of your movement to ensure you're engaging the muscles effectively throughout the exercise. Aim for a slower descent into the squat, which will help you maintain control and maximize muscle activation, while also extending the time spent in the position to enhance strength. Lastly, make sure to aim for the target position accurately—consider practicing with a visual marker to help you gauge your depth more effectively.","PROBLEM: The squat movement was performed too slowly and did not last long enough to effectively engage the muscles.  
FIX: Increase your speed by focusing on an explosive upward motion while maintaining control on the way down, and aim for a longer duration, ideally holding the squat position briefly at the bottom.  
MOTIVATION: Keep pushing yourself—every rep gets you closer to your strength goals!"
squat,slow_and_wrong_angle,low,incorrect,normal,False,"It looks like your speed is a bit slow, which is fine, but try to maintain a more consistent tempo throughout the movement. Additionally, I noticed your angle during the squat is off; ensure that your knees are tracking over your toes to protect your joints and engage the right muscles. Focus on refining these aspects and aim to increase intensity once you feel comfortable with your form!","To improve your squat performance, focus on increasing the speed of your descent and ascent; aim to maintain a brisk, controlled pace. Additionally, ensure that your knees are tracking in line with your toes and that your hips drop below parallel to achieve the correct squat angle. Practicing with a mirror or video feedback can help you refine these mechanics and hit your targets more consistently.","PROBLEM: The squat movement is performed too slowly, resulting in an incorrect angle and missed target.  
FIX: Increase the speed of your descent and push through the heels as you rise to maintain the correct squat angle.  
MOTIVATION: You're making progress—focus on your movement speed, and you'll hit your target in no time!"
squat,too_short,good,correct,short,False,"Great job on maintaining a quick tempo during your squats! Your form looks solid, with the correct angle and depth. However, try to focus on a slightly longer duration to ensure you're engaging the muscles fully and maximizing the benefits of the movement. Keep it up!","To improve your squat, aim to increase the duration of the movement by emphasizing a controlled descent and ascent, allowing for better muscle engagement. Make sure to maintain your depth by focusing on reaching the desired angle consistently; you might benefit from practicing with a slow tempo to reinforce proper form and ensure you hit the target more accurately. Try counting to three on the way down and up to help you extend the duration effectively.","PROBLEM: The duration of the squat was too short, leading to missed target depth.  
FIX: Focus on maintaining a controlled descent and ascent to ensure you reach the optimal depth for a full squat.  
MOTIVATION: Keep pushing yourself; with practice, you'll nail that perfect squat depth!"
squat,wrong_angle,good,incorrect,normal,False,"Great job on maintaining a good speed throughout the squat! However, it's important to correct your angle—focus on keeping your back straight and ensuring your knees track over your toes to prevent injury. Keep practicing, and you'll find that perfect form will enhance your overall performance!","To improve your squat, focus on adjusting your knee and hip angles to ensure they align correctly with the target position. Pay attention to maintaining a straight back and keeping your chest up as you lower into the squat; this will help you achieve the correct angle. Additionally, practice the movement in front of a mirror or with a friend for real-time feedback to help you hit the desired target consistently.","PROBLEM: The angle of your squat is incorrect, leading to a misaligned form.  
FIX: Focus on keeping your back straight and hips back, while ensuring your knees stay in line with your toes during the descent.  
MOTIVATION: You're on the right track; with a few adjustments, you'll achieve a powerful and effective squat!"
uppercut,all_wrong,low,incorrect,short,False,"It looks like your uppercut needs some adjustment. Start by finding the correct angle; aim to utilize your legs and hips to generate power instead of just relying on your arms. Additionally, focus on maintaining a consistent movement speed and extending the duration of your punch to fully commit to the strike and ensure you land it effectively.","To improve your uppercut punch, focus on generating more explosive speed by engaging your legs and core to drive upward effectively. Ensure that your punch angle is slightly upward, ideally aiming to connect under the opponent's chin, which often requires proper shoulder rotation. Finally, extend the duration of your punch to maintain control and follow through, allowing your fist to align with your target all the way to the impact.","PROBLEM: The uppercut lacked the necessary speed and precision, leading to an incorrect angle and missed target.  
FIX: Focus on generating more power from your legs and hips while maintaining a 45-degree angle with your punch trajectory, and practice extending the duration of your punch to enhance follow-through.  
MOTIVATION: Keep pushing your limits, and with each practice, you’ll refine your technique and land those powerful uppercuts!"
uppercut,correct,good,correct,normal,True,"Great job on that uppercut! Your speed and angle were spot on, which is crucial for delivering a powerful and effective punch. Keep focusing on the timing and ensure you’re following through with your body weight to maximize the impact. Keep it up!","Since no errors were detected in your uppercut execution, you should maintain your good speed and correct angle while looking to enhance the power of your punch. Focus on generating force from your legs and hips to drive the uppercut upwards, and practice ensuring your shoulder remains engaged throughout the movement for optimal control and impact. Regularly incorporate shadowboxing drills to reinforce these mechanics without the distraction of an opponent.","PROBLEM: Your uppercut lacks the explosive power typically needed to maximize impact.  
FIX: Focus on engaging your core and transferring weight from your legs to your hips during the punch for added force.  
MOTIVATION: You're doing great, keep building that power and you'll see even more improvement!"
uppercut,slow,low,correct,normal,False,"It looks like your uppercut needs some adjustments in speed; focus on generating more snap in your punch to increase its impact. While your angle is correct, ensuring that you transfer your weight effectively will help you generate the necessary power in your strike. Keep practicing your timing and follow through to make sure your uppercut lands successfully!","To improve the speed of your uppercut, focus on explosiveness during the initial phase of the punch; practice short, quick bursts of power rather than relying solely on endurance. Additionally, work on your targeting by incorporating visual markers or pads into your training to ensure you're consistently hitting the mark. This combination of speed drills and targeted practice will enhance both your effectiveness and accuracy in executing the uppercut.","PROBLEM: The uppercut is lacking in speed, leading to a missed target.  
FIX: Focus on generating more explosiveness from your legs and hips to enhance the speed of your punch while maintaining proper technique.  
MOTIVATION: With practice and dedication, you'll master the uppercut and become a formidable force in the ring!"
uppercut,slow_and_too_short,low,correct,short,False,"Your uppercut movement is on the right track in terms of angle, but we need to work on increasing your speed to make it more effective. Remember to engage your hips and legs to generate power, which will improve both the speed and impact of your punch. Focus on delivering the uppercut with a bit more force while keeping the movement concise and controlled. Keep practicing!","To improve your uppercut, focus on increasing your speed by incorporating explosive drills, such as shadowboxing with resistance bands or practicing against a heavy bag. Ensure that you extend the duration of your punch by committing fully to the motion, allowing for a complete follow-through. Lastly, refine your targeting by visualizing your opponent's chin or a specific spot on the bag, ensuring your punch connects effectively with proper aim.","PROBLEM: The uppercut lacks the necessary speed and duration, resulting in a missed target.  
FIX: Increase your power in the initial phase of the punch by driving through your legs and rotating your hips, while also extending your arm fully to maintain a longer punch duration.  
MOTIVATION: You're on the right track, and with some adjustments, your uppercut will become a powerful weapon in your arsenal!"
uppercut,slow_and_wrong_angle,low,incorrect,normal,False,"To improve your uppercut, focus on generating more speed by engaging your legs and core for power. Ensure your elbow is positioned correctly to create the right angle; your punch should come upwards, targeting your opponent's chin. Practice this movement with a mirror or partner to refine your technique and increase your effectiveness in landing the punch.","To improve your uppercut, focus on generating more explosive power by engaging your legs and core during the upward motion; this will help increase your speed. Ensure your elbow is positioned closer to your body to maintain the correct angle, allowing you to drive your fist upward effectively towards the target. Finally, practice targeting a specific point, like the opponent's chin, to enhance your accuracy and ensure you connect properly.","PROBLEM: Low speed and incorrect angle caused you to miss the target with your uppercut.  
FIX: Focus on generating power from your legs and hips while rotating your shoulder to increase speed and adjust your punch angle to align with the target.  
MOTIVATION: Keep practicing, and you'll find that with each attempt, your technique will improve and become more explosive!"
uppercut,too_short,good,correct,short,False,"Your speed and angle are solid, which is great! Focus on maintaining that quick movement, but make sure to fully extend your arm and engage your core to ensure a solid connection with the punch. Try increasing the duration of your engagement to help land the uppercut more effectively next time.","To improve your uppercut, extend the duration of the punch by slowing down your initial movement and ensuring you fully engage your legs and core throughout the strike. This will give you more time to accurately aim at the target; practice your follow-through to ensure your fist connects at the optimal moment. Consider using a mirror or feedback from a coach to help maintain focus on both timing and target accuracy.","PROBLEM: The uppercut punch duration is too short, resulting in a missed target.  
FIX: Focus on extending the follow-through of your punch to allow for a more effective connection with the target.  
MOTIVATION: With practice and patience, you'll land those punches with power and precision!"
uppercut,wrong_angle,good,incorrect,normal,False,"Great job on maintaining your speed during the uppercut; that quickness is essential for catching your opponent off guard. However, focus on adjusting your angle—your elbow should stay close to your body as you deliver the punch to ensure better trajectory and power. Keep practicing this adjustment, and you'll start landing those punches more effectively!","To improve your uppercut, focus on adjusting your punch angle; ensure that your elbow stays tucked and your wrist is straight to create the correct upward trajectory. Practice targeting the chin or jaw of your opponent by visualizing the point of impact, and consider shadowboxing with a mirror to reinforce the right angle and target accuracy. Consistent drills aimed at fine-tuning these elements will enhance both precision and effectiveness.","PROBLEM: The angle of the uppercut is incorrect, causing you to miss the target.  
FIX: Focus on keeping your elbow closer to your body as you drive the punch upwards to create a sharper angle.  
MOTIVATION: You're making great progress with your speed—let's refine the angle to unlock your full potential!"
